epoch,phase,learning_rate,train_loss,train_accuracy,val_loss,val_accuracy,embedding_norm,gradient_norm,train_batches,val_batches,epoch_time_sec,device,gpu_memory_mb,checkpoint_saved
2,WARM-UP,2.0800000000000004e-05,36.996130375586766,4.4730492393260267e-05,34.384257885294225,0.00037884993446920054,1.0,nan,6113,763,1611.24,cuda,427.71,True
3,WARM-UP,4.0600000000000004e-05,30.448846246340885,0.01287084035913375,26.08083321007645,0.04518553407601573,1.0,nan,6113,763,1536.22,cuda,426.57,True
4,WARM-UP,6.04e-05,22.107319077239495,0.10279922438309279,18.688006875399367,0.1783672471282091,1.0,nan,6113,763,1535.68,cuda,426.86,True
5,WARM-UP,8.020000000000001e-05,15.89049611262442,0.24049578294680946,14.230082009754206,0.30207831412381464,1.0,inf,6113,763,1531.36,cuda,426.86,True
6,COSINE-DECAY,0.0001,12.172761944571592,0.36333930133133674,11.783679156597133,0.4049008364813816,1.0,inf,6113,763,1621.86,cuda,426.86,True
7,COSINE-DECAY,9.939057285945933e-05,9.404436156926405,0.48229592671356125,9.893813976454078,0.49577904556317937,1.0,nan,6113,763,1645.38,cuda,426.86,True
8,COSINE-DECAY,9.757729755661012e-05,7.5225758814644,0.5749143337339089,8.691539366779603,0.5621645160357721,1.0,inf,6113,763,1634.87,cuda,426.86,True
9,COSINE-DECAY,9.460482294732421e-05,6.149231792217812,0.6472687856270999,7.897811146894883,0.610660319173541,1.0,inf,6113,763,1620.15,cuda,426.86,True
10,COSINE-DECAY,9.05463412215599e-05,5.096411256105288,0.7031616495111301,7.090213063347543,0.6568089391719991,1.0,inf,6113,763,1697.17,cuda,427.71,True
11,COSINE-DECAY,8.55017856687341e-05,4.24580289856143,0.7491980756647246,6.673689917374407,0.6829158555624085,1.0,inf,6113,763,1705.27,cuda,426.57,True
12,COSINE-DECAY,7.959536998847742e-05,3.538748245201816,0.7875614233223017,6.139428109516479,0.7126305797548378,1.0,inf,6113,763,1700.63,cuda,426.86,True
13,COSINE-DECAY,7.297252973710757e-05,2.9489081916453386,0.8193480712604915,5.957615321616826,0.7279225050111787,1.0,inf,6113,763,1784.59,cuda,426.86,True
14,COSINE-DECAY,6.57963412215599e-05,2.442662207795188,0.8473825485409404,5.557748649723408,0.749581397926143,1.0,inf,6113,763,1700.7,cuda,426.86,True
15,COSINE-DECAY,5.8243506019491436e-05,1.988197839890957,0.8721197495249721,5.338347492414877,0.7620629673887904,1.0,inf,6113,763,1642.97,cuda,426.86,True
16,COSINE-DECAY,5.05e-05,1.6184440707294558,0.8931289441480326,5.104565435983876,0.7732260908950737,1.0,inf,6113,763,1668.54,cuda,426.86,True
17,COSINE-DECAY,4.2756493980508566e-05,1.2975656187514344,0.9125111875385371,4.935038872268222,0.7853005020815665,1.0,inf,6113,763,1741.36,cuda,426.86,True
18,COSINE-DECAY,3.5203658778440106e-05,1.026082215312766,0.9284556910556317,4.776889731499658,0.7927979964921749,1.0,inf,6113,763,1833.57,cuda,426.86,True
19,COSINE-DECAY,2.8027470262892437e-05,0.8108879354875032,0.9418761167876782,4.622178918451344,0.7997401655616375,1.0,inf,6113,763,1881.13,cuda,426.86,True
20,COSINE-DECAY,2.1404630011522586e-05,0.6361219919511415,0.9536594064981314,4.458376180844414,0.8073713717138231,1.0,inf,6113,763,1557.97,cuda,426.86,True
21,COSINE-DECAY,1.5498214331265904e-05,0.5023619904933256,0.9626834245114447,4.368771702168341,0.8116766488705573,1.0,inf,6113,763,1557.12,cuda,426.86,True
22,COSINE-DECAY,1.0453658778440107e-05,0.39986131431163685,0.9700805306157118,4.298044571948395,0.8159746983655848,1.0,inf,6113,763,1553.88,cuda,426.86,True
23,COSINE-DECAY,6.3951770526757955e-06,0.3275161050251747,0.9751644312562132,4.246821041735253,0.8169757295119883,1.0,inf,6113,763,1536.11,cuda,426.86,True
24,COSINE-DECAY,3.4227024433899e-06,0.28159422802167655,0.9787645968868365,4.211895286255707,0.8182044320021586,1.0,inf,6113,763,1530.69,cuda,426.86,True
25,COSINE-DECAY,1.6094271405406859e-06,0.2548374971486788,0.9806177172859858,4.200644759878731,0.819668635802945,1.0,inf,6113,763,1539.94,cuda,426.86,True
